Property_ID,Prop_Type,Tax_Key,District_Num,Nbhd_Num,Style,Unit_Count,Fbath_Count,Hbath_Count,Lot_Size,Sale_Date,Sale_Price,Sale_Price_Target,Ext_Wall,Story_Count,Year_Built,Room_Count,Finished_Sqft,Bdrm_Count,Condo_Project
127404,Commercial,2130101100,2,6226,Auto & Auto Body Repair,2,0,0,36360,2022-10-20,474227.0,4.0,Brick,1.0,1967.0,0.0,5684.0,3.0,
128004,Commercial,2140109000,5,6226,"Store Building - Single tenant, 1 story",2,0,0,8084,2022-10-04,120000.0,1.0,Metal Siding,1.0,1967.0,0.0,750.0,3.0,
265294,Commercial,2269995111,2,6230,Office Building - Multi Story ( Ofc & Apt),3,0,0,33600,2022-01-14,280000.0,2.0,Concrete Block,2.0,1958.0,0.0,11067.0,3.0,
135503,Commercial,2310493000,1,6232,Service Building,1,0,0,30012,2022-10-14,500000.0,5.0,Concrete Block,1.0,1949.0,0.0,27506.0,3.0,
138003,Commercial,2460005000,1,6234,"Store Building - Single tenant, 1 story",1,0,0,14511,2022-11-11,155000.0,1.0,Concrete Block,1.0,1942.0,0.0,4433.0,3.0,
138302,Commercial,2470223000,7,6244,"Store Building - Multiple Tenants, 1 story",6,0,0,10204,2022-05-27,375000.0,3.0,Brick on Block,1.0,1940.0,0.0,7475.0,3.0,
140446,Commercial,2510358000,2,6230,"Custard Stand, Drive-In",1,0,0,15480,2022-02-04,630000.0,6.0,Concrete Block,1.0,1952.0,0.0,782.0,3.0,
143318,Commercial,2620196100,5,6226,Sit Down Restaurant,1,0,0,19208,2022-05-23,430000.0,4.0,Other,1.0,1949.0,0.0,4815.0,3.0,
144659,Commercial,2640194210,10,6230,Medical Clinic,7,0,0,21840,2022-08-01,400000.0,4.0,Concrete Block,2.0,1961.0,0.0,18482.0,3.0,
145189,Commercial,2650125000,2,6230,Office Building - Multi Story ( Ofc & Apt),2,0,0,4200,2022-10-31,208000.0,2.0,Concrete Block,2.0,1957.0,0.0,3808.0,3.0,
145490,Commercial,2659998100,2,6230,Office Building - Multi Story ( Ofc & Apt),5,0,0,0,2022-03-17,740000.0,7.0,Brick,2.0,1957.0,0.0,31271.0,3.0,
148182,Commercial,2700312000,6,6234,Residence With Commercial Usage,3,0,0,3900,2022-07-11,65000.0,0.0,Other,2.0,1924.0,0.0,1992.0,3.0,
149858,Commercial,2719997000,6,6240,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",3,0,0,3835,2022-10-11,25000.0,0.0,Other,2.0,1883.0,0.0,2644.0,3.0,
158200,Commercial,2871144110,7,6242,Service Building,0,0,0,0,2022-10-12,420000.0,4.0,Block,1.0,1947.0,0.0,19046.0,3.0,
265827,Commercial,2872001000,7,6242,Tavern,6,0,0,10955,2022-10-03,280000.0,2.0,Alum/Vynyl Siding,2.0,1910.0,0.0,3267.0,3.0,
159049,Commercial,2880731000,7,6244,Day Care Center,1,0,0,6500,2022-10-07,215000.0,2.0,Concrete Block,1.0,1953.0,0.0,2109.0,3.0,
159657,Commercial,2890368000,10,6244,Auto & Auto Body Repair,1,0,0,4800,2022-04-20,230000.0,2.0,Concrete Block,1.0,1953.0,0.0,2960.0,3.0,
160779,Commercial,2920509000,5,6226,"Store Building - Single tenant, 1 story",1,0,0,14400,2022-02-04,425000.0,4.0,Concrete Block,1.0,1950.0,0.0,7360.0,3.0,
161020,Commercial,2921005000,5,6226,Day Care Center,1,0,0,5207,2022-03-03,155000.0,1.0,Concrete Block,1.0,1948.0,0.0,2406.0,3.0,
165152,Commercial,3050935000,10,6226,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",7,0,0,8640,2022-05-17,400000.0,4.0,Brick,2.0,1930.0,0.0,6364.0,3.0,
168346,Commercial,3090392100,15,6242,Multi Story Warehouse,3,0,0,0,2022-06-03,200000.0,2.0,Concrete Block,2.0,1930.0,0.0,29174.0,3.0,
168390,Commercial,3090634000,7,6242,Service Building,1,0,0,7200,2022-12-22,27800.0,0.0,Brick,1.0,1927.0,0.0,7200.0,3.0,
168391,Commercial,3090635100,7,6242,"Store Building - Single tenant, 1 story",1,0,0,7200,2022-12-22,28200.0,0.0,Concrete Block,1.0,1928.0,0.0,1740.0,3.0,
168607,Commercial,3091119000,15,6418,Svs Station w Conv Store,1,0,0,11592,2022-03-30,500000.0,5.0,Concrete Block,1.0,1997.0,0.0,1219.0,3.0,
260785,Commercial,3120525110,15,6256,Auto & Auto Body Repair,1,0,0,14580,2022-07-11,100000.0,1.0,Concrete Block,1.0,1968.0,0.0,3570.0,3.0,
172216,Commercial,3140222100,3,6260,Tavern,5,0,0,5400,2022-05-13,575000.0,5.0,Alum/Vynyl Siding,2.0,1906.0,0.0,6322.0,3.0,
175093,Commercial,3190770200,3,6417,"Bank, Savings & Loan",4,0,0,13848,2022-04-26,3550000.0,10.0,Concrete Block,2.0,1964.0,0.0,10708.0,3.0,
175790,Commercial,3201525000,3,6413,Quick Oil Change,2,0,0,1845,2022-05-12,1500000.0,10.0,Concrete Block,1.0,1961.0,0.0,3690.0,3.0,
176314,Commercial,3211239000,6,6260,"Store Building - Single tenant, 1 story",2,0,0,1600,2022-06-10,100000.0,1.0,Brick,1.0,1925.0,0.0,1350.0,3.0,
180216,Commercial,3270317100,15,6242,"Licensed Res Care Facility,  Halfway House, etc.",2,0,0,17337,2022-05-20,235000.0,2.0,Brick,2.0,1935.0,0.0,7296.0,3.0,
180623,Commercial,3271220120,15,6242,Office Building - Multi Story ( Ofc & Apt),1,0,0,3600,2022-01-14,120000.0,1.0,Precast Masonary,2.0,1925.0,0.0,5434.0,3.0,
181660,Commercial,3281663000,15,6250,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",4,0,0,1120,2022-11-18,150000.0,1.0,Brick,2.0,1925.0,0.0,1919.0,3.0,
265399,Commercial,3480766100,15,6254,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",6,0,0,0,2022-09-28,268750.0,2.0,Brick,2.0,1913.0,0.0,4876.0,3.0,
185473,Commercial,3481532000,15,6242,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2,0,0,2144,2022-09-02,100000.0,1.0,Brick,2.0,1915.0,0.0,4288.0,3.0,
265996,Commercial,3504061000,15,6254,Single Tenant Multi Story Retail,2,0,0,7205,2022-05-24,55000.0,0.0,Brick,2.0,1905.0,0.0,4414.0,3.0,
191171,Commercial,3591012000,4,6460,Mansions With Commercial Usage,7,0,0,0,2022-05-16,1075000.0,10.0,Brick,3.0,1887.0,0.0,2370.0,3.0,
191172,Commercial,3591013000,4,6460,Mansions With Commercial Usage,7,0,0,0,2022-05-16,1075000.0,10.0,Brick,3.0,1887.0,0.0,2370.0,3.0,
193220,Commercial,3610632000,4,6460,Office Building - Class B,7,0,0,4880,2022-11-29,1850000.0,10.0,Brick,6.0,1900.0,0.0,25000.0,3.0,
193824,Commercial,3632447100,4,6270,Beer Depot & Liquor Store,1,0,0,11250,2022-08-05,300000.0,3.0,Concrete Block,1.0,1940.0,0.0,5750.0,3.0,
195314,Commercial,3651171100,15,6418,Svs Station w Conv Store,1,0,0,11077,2022-02-04,755000.0,7.0,Concrete Block,1.0,2001.0,0.0,2039.0,3.0,
196059,Commercial,3661737000,15,6254,Service Building,2,0,0,5200,2022-06-16,249000.0,2.0,Brick,1.0,1916.0,0.0,5246.0,3.0,
196767,Commercial,3680328100,10,6418,Svc Station w Conv and Carwash,3,0,0,22707,2022-10-21,1300000.0,10.0,Concrete Block,1.0,1940.0,0.0,4018.0,3.0,
197064,Commercial,3840185000,10,6272,Office Building - Multi Story ( Ofc & Apt),1,0,0,7167,2022-12-16,490000.0,4.0,Brick,2.0,1954.0,0.0,5150.0,3.0,
197212,Commercial,3850604100,10,6272,"Store Building - Single tenant, 1 story",1,0,0,1985,2022-10-13,165000.0,1.0,Concrete Block,1.0,1900.0,0.0,894.0,3.0,
197586,Commercial,3861031000,10,6252,Auto & Auto Body Repair,3,0,0,12613,2022-12-22,450000.0,4.0,Concrete Block,1.0,1926.0,0.0,5451.0,3.0,
260959,Commercial,3910763100,4,6460,Office Building - Class B,1,0,0,75,2022-07-01,55000.0,0.0,Precast Masonary,1.0,1929.0,0.0,626.0,3.0,
199053,Commercial,3920662000,4,6460,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",4,0,0,4800,2022-09-27,650000.0,6.0,Precast Masonary,2.0,1947.0,0.0,10000.0,3.0,
199087,Commercial,3920733000,4,6460,Office Building - Class B,5,0,0,0,2022-10-31,1525000.0,10.0,Brick,5.0,1870.0,0.0,17000.0,3.0,
199115,Commercial,3920813000,4,6460,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",6,0,0,3600,2022-05-17,500000.0,5.0,Brick,2.0,1900.0,0.0,4182.0,3.0,
199314,Commercial,3921602000,4,6460,Mansions With Commercial Usage,1,0,0,12505,2022-07-18,1550000.0,10.0,Brick,2.0,1870.0,0.0,8752.0,3.0,
199453,Commercial,3922136000,3,6460,Tavern,2,0,0,8437,2022-05-24,1700000.0,10.0,Brick,2.0,1925.0,0.0,10535.0,3.0,
264795,Commercial,3960393110,4,6296,"Store Building - Single tenant, 1 story",3,0,0,929,2022-05-03,750000.0,7.0,Brick,1.0,1907.0,0.0,3069.0,3.0,
264814,Commercial,3970674000,4,6460,Multi Story Warehouse,7,0,0,14892,2022-02-25,4486720.0,10.0,Brick,1.0,1915.0,0.0,32745.0,3.0,
201252,Commercial,4000041100,4,6270,Office Building - 1 Story,2,0,0,12600,2022-09-19,125000.0,1.0,Concrete Block,1.0,1947.0,0.0,3654.0,3.0,
201371,Commercial,4000749000,4,6270,Multi Story Warehouse,4,0,0,0,2022-04-26,650000.0,6.0,Metal Siding,2.0,1925.0,0.0,16780.0,3.0,
202991,Commercial,4050116000,10,6272,Service Building,2,0,0,5004,2022-10-14,318000.0,3.0,Concrete Block,1.0,1920.0,0.0,4595.0,3.0,
204157,Commercial,4079999000,10,6440,Fast Food Operation,1,0,0,19236,2022-02-07,2579000.0,10.0,Precast Masonary,1.0,2018.0,0.0,2130.0,3.0,
205194,Commercial,4180291000,10,6272,Laundry Pick-up Station,1,0,0,7394,2022-08-26,92000.0,0.0,Alum/Vynyl Siding,1.0,1926.0,0.0,960.0,3.0,
205512,Commercial,4190386000,10,6272,Residence With Commercial Usage,1,0,0,8520,2022-10-04,190000.0,1.0,Alum/Vynyl Siding,2.0,1925.0,0.0,2346.0,3.0,
207055,Commercial,4280268000,12,6275,Multi Story Warehouse,1,0,0,11200,2022-06-30,700000.0,7.0,Brick,3.0,1881.0,0.0,19898.0,3.0,
207062,Commercial,4280282000,12,6275,Service Building,3,0,0,7000,2022-02-24,1050000.0,10.0,Concrete Block,1.0,1947.0,0.0,6933.0,3.0,
207943,Commercial,4310257000,12,6279,Service Building,1,0,0,0,2022-04-29,934000.0,9.0,Brick,2.0,1929.0,0.0,20132.0,3.0,
208140,Commercial,4311000100,12,6275,Tavern,4,0,0,7700,2022-06-28,1600000.0,10.0,Brick,2.0,1885.0,0.0,16381.0,3.0,
208884,Commercial,4320779100,12,6275,Sit Down Restaurant,1,0,0,3500,2022-09-23,360000.0,3.0,Brick,1.0,1900.0,0.0,3484.0,3.0,
209155,Commercial,4330410000,12,6277,"Store Building - Multiple Tenants, 1 story",2,0,0,5031,2022-11-01,281000.0,2.0,Brick,1.0,1934.0,0.0,5011.0,3.0,
